,pos,country_code,iso_code,country,year,gdlcode,region,iwi,edyr,edyr_fem,edyr_male,urban,wrk_agr,wrk_lnagr,wrk_unagr,tv,phone,electr,small_house,large_house,qual_floor,bad_floor,tap_water,bad_water,flush_toilet,bad_toilet,age09,age1019,age2029,age3039,age4049,age5059,age6069,age7079,age8089,age90hi,N,Nhh,sdr_id,sdr_name,sdr_level
0,2,,CIV,Cote d'Ivoire,2011,CIVt,Total,47.0,4.2,3.2,5.3,44.7,,37.2,7,47.3,85.3,56.9,19.1,50.6,11.6,18.1,32.2,16.4,22.7,52.5,30.5,21.6,16.7,12.5,7.5,5.6,3.4,1.5,0.5,0.1,,,0,,
1,3,,CIV,Cote d'Ivoire,2011,CIVtr,Rural,33.8,2.6,1.7,3.5,0.0,,14.7,2.7,23.7,77.5,30.3,17.3,54.3,1.9,31.0,7.1,24.2,4.1,77.2,34.8,19.3,13.9,11.9,7.5,6.0,3.8,1.9,0.6,0.1,,,0,,
2,4,,CIV,Cote d'Ivoire,2011,CIVtu,Urban,63.5,5.9,4.7,7.0,100.0,,73.7,13.9,76.5,94.9,90.0,21.4,45.8,23.8,2.0,63.4,6.6,45.9,21.7,25.2,24.5,20.1,13.2,7.5,5.2,2.9,1.0,0.3,0.1,,,0,,
3,5,,CIV,Cote d'Ivoire,2011,CIVr101,Centre,42.3,3.6,2.8,4.4,32.7,,21.6,6.7,31.8,78.7,46.4,15.0,58.2,7.1,20.1,31.5,10.2,19.9,67.8,31.9,22.6,12.6,9.3,7.2,7.4,5.1,2.3,1.2,0.4,,,0,,
4,6,,CIV,Cote d'Ivoire,2011,CIVr102,Centre Est,47.4,4.2,3.5,4.9,38.3,,36.5,7.7,46.7,86.8,61.2,27.2,42.7,12.6,22.1,37.9,10.5,17.2,41.7,29.4,22.0,18.3,12.9,7.0,5.0,3.4,1.6,0.4,0.1,,,0,,
5,7,,CIV,Cote d'Ivoire,2011,CIVr103,Centre Nord,47.1,3.6,2.6,4.7,52.3,,39.2,8.5,46.1,84.4,53.3,12.0,54.5,12.0,11.0,25.2,4.2,15.6,51.8,31.4,22.4,13.7,11.1,7.9,6.2,4.0,2.3,0.9,0.1,,,0,,
6,8,,CIV,Cote d'Ivoire,2011,CIVr104,Centre Ouest,43.0,3.8,2.8,4.8,34.6,,27.4,4.9,45.0,88.6,47.1,16.8,58.3,7.6,14.5,16.4,21.8,13.1,71.5,33.1,23.5,14.1,11.8,7.3,4.8,3.5,1.3,0.5,0.1,,,0,,
7,9,,CIV,Cote d'Ivoire,2011,CIVr105,Nord,39.9,2.1,1.4,3.0,31.7,,27.4,3.8,29.0,72.1,32.9,20.7,50.3,3.6,33.2,17.4,11.1,5.3,58.0,35.2,19.1,15.2,10.9,6.4,6.6,4.0,2.0,0.5,0.1,,,0,,
8,10,,CIV,Cote d'Ivoire,2011,CIVr106,Nord Est,35.2,2.6,1.8,3.6,12.1,,22.5,6.1,26.5,70.8,39.0,31.1,38.9,5.7,25.3,15.0,12.9,8.2,78.5,32.9,22.5,12.2,10.7,6.5,6.7,5.6,2.2,0.5,0.2,,,0,,
9,11,,CIV,Cote d'Ivoire,2011,CIVr107,Nord Ouest,40.1,1.6,0.9,2.5,16.6,,18.6,1.7,27.1,82.9,37.5,8.2,69.4,1.5,37.3,10.0,13.7,7.9,56.1,36.3,19.9,14.9,10.3,7.7,5.5,3.4,1.5,0.6,0.1,,,0,,
10,12,,CIV,Cote d'Ivoire,2011,CIVr108,Ouest,35.1,3.3,2.3,4.3,22.0,,22.9,3.1,30.9,73.6,50.9,12.3,57.9,2.3,41.0,7.2,32.4,4.8,67.4,33.2,20.0,16.1,11.5,7.4,5.8,3.3,2.0,0.5,0.1,,,0,,
11,13,,CIV,Cote d'Ivoire,2011,CIVr109,"Sud, Abidjan",60.9,5.9,4.7,7.0,74.4,,63,12.6,69.9,94.0,81.3,23.9,41.9,23.6,4.4,63.4,8.0,47.3,25.8,25.6,21.7,20.4,14.4,8.2,5.4,2.9,1.0,0.2,0.1,,,0,,
12,14,,CIV,Cote d'Ivoire,2011,CIVr110,Sud Ouest,35.1,2.9,2.1,3.7,22.5,,26.7,3.4,33.5,84.5,33.0,22.6,45.0,2.2,25.3,9.0,43.7,5.8,74.8,32.5,20.5,17.9,14.5,6.5,5.0,2.0,1.0,0.1,0.0,,,0,,
13,15,GN,GIN,Guinea,2012,GINt,Total,38.1,3.5,2.2,5.0,32.6,,35.4,6.9,27.8,68.4,27.1,9.6,67.3,8.8,44.3,22.1,24.8,18.4,55.3,32.6,24.1,13.2,9.4,7.1,6.3,4.3,2.0,0.7,0.1,,,0,,
14,16,GN,GIN,Guinea,2012,GINtr,Rural,24.9,1.6,0.7,2.7,0.0,,21,2.7,6.4,55.0,3.6,9.2,69.1,1.5,62.7,0.5,34.2,4.4,75.3,35.2,23.1,11.0,8.9,7.3,6.5,4.7,2.3,0.9,0.1,,,0,,
15,17,GN,GIN,Guinea,2012,GINtu,Urban,65.4,6.5,4.9,8.2,100.0,,75.2,18.6,72.2,96.3,75.6,10.4,63.6,23.9,6.0,66.8,5.3,47.4,13.9,27.2,26.1,17.8,10.5,6.8,6.0,3.6,1.5,0.4,0.1,,,0,,
